final_id,comment_id,platform,source_name,comment_text,date,likesCount,Topic_REVIEWED,sentiment,intent,raw_text
34,6850,Google Maps,Restaurant À Petit Feu,"Le meilleur restaurant que j'aie jamais vu, et les plats sont excellents. Leur cuisine est de haute qualité et d'une propreté irréprochable, ce qui permet de voir le chef préparer ses plats. Quant à la pizza, j'ai pris la leur, la meilleure pizza d'Algérie, à l'italienne. The best restaurant I have ever seen in my life and the best dishes. Their cooking is characterised by high quality and cleanliness, to the point that you can watch the chef cooking your food. As for the pizza, I had their pizza, the best pizza in Algeria, Italian style. افضل مطعم رايته في حياتي وافضل اطباق يتميز طبخهم بجودة عالية ونظافة حتى انك يمكنك مشاهدة الطباخ وهو يطبخ طعامك اما عن البيتزا فاخدت بيتزتهم افضل بيتزا في الجزائر على الطريقة الايطالية",2025-07-27T13:50:25.258Z,0,"food,service,place",,,"Le meilleur restaurant que j'aie jamais vu, et les plats sont excellents. Leur cuisine est de haute qualité et d'une propreté irréprochable, ce qui permet de voir le chef préparer ses plats. Quant à la pizza, j'ai pris la leur, la meilleure pizza d'Algérie, à l'italienne. The best restaurant I have ever seen in my life and the best dishes. Their cooking is characterised by high quality and cleanliness, to the point that you can watch the chef cooking your food. As for the pizza, I had their pizza, the best pizza in Algeria, Italian style. افضل مطعم رايته في حياتي وافضل اطباق يتميز طبخهم بجودة عالية ونظافة حتى انك يمكنك مشاهدة الطباخ وهو يطبخ طعامك اما عن البيتزا فاخدت بيتزتهم افضل بيتزا في الجزائر على الطريقة الايطالية "
35,6353,Google Maps,Casbah Istanbul,Je recommande super bon,2020-01-20T08:37:20.602Z,0,food,,,Je recommande super bon
36,1661,instagram,restaurant.cezam,Jdr ce restaurant 3 visite jamais déçu,2025-07-31T23:17:22.000Z,1,unknown,,,Jdr ce restaurant 3 visite jamais déçu 😍
37,20742,tiktok,@labelladalger16,غاااااااااااااالي بزااااااااااااااااااااف,2026-01-02T18:19:43.848835,0,,,,غاااااااااااااالي بزااااااااااااااااااااف
38,2486,Google Maps,HichamCook Grill House,C'était une mauvaise expérience pour moi et ma famille on na eu une intoxication et après une semaine on na entendu que tout les clients a eu la même chose a cause d'une viande périmé c'est grave,2024-06-01T21:18:24.260Z,0,unknown,,,C'était une mauvaise expérience pour moi et ma famille on na eu une intoxication et après une semaine on na entendu que tout les clients a eu la même chose a cause d'une viande périmé c'est grave
39,58936,tiktok,@maestro_dz13,الحاجة سيريدي. طبرقة216,2026-01-02T21:21:21.380397,0,,,,الحاجة سيريدي😁. طبرقة🥰216😏
40,11428,Facebook,Restaurant San Benito,Hajer Hajer راك آآوت السومون وحدو فوق 600الف الكيلو,2025-07-27T22:07:59.000Z,0,unknown,,,Hajer Hajer راك آآوت السومون وحدو فوق 600الف الكيلو
41,45788,tiktok,@mister_n_alger,Family Tacos ront point te3 cafè dubai koulou w rodoli khbar,2026-01-02T20:17:49.648118,3,,,,Family Tacos ront point te3 cafè dubai koulou w rodoli khbar
42,17182,tiktok,@casa_burger1,crousty [INTENSE],2026-01-02T18:11:30.275150,0,,,,crousty?????
43,5782,Google Maps,Casbah Istanbul القصبة اسطنبول,"Personnel Turque non souriant, nourriture très moyenne ne mérite pas les 4 étoiles.",2020-03-03T23:06:24.795Z,0,treatment,,,"Personnel Turque non souriant, nourriture très moyenne ne mérite pas les 4 étoiles."
44,47620,tiktok,@bazookadz,3200 نعيش بيها سمانة بالفور,2026-01-02T20:32:29.912464,0,,,,3200 نعيش بيها سمانة بالفور
45,6330,Google Maps,Casbah Istanbul,Mauvaise qualité,2021-03-07T02:41:02.036Z,1,unknown,,,Mauvaise qualité
46,59020,tiktok,@maestro_dz13,البامبو يهبل ومعاك لاغونيصونص,2026-01-02T21:21:22.179433,1,,,,البامبو يهبل ومعاك لاغونيصونص
47,120,instagram,amine_la_cantine,هاذ الكمية كنكون نطيب نذوقها,2025-12-24T20:48:54.000Z,16,unknown,,,هاذ الكمية كنكون نطيب نذوقها😂😂😂😂😂😂
48,5351,Google Maps,قصبة اسطنبول,"Propre, calme et la bouf est bonne",2024-03-19T07:28:38.788Z,0,"food,place",,,"Propre, calme et la bouf est bonne"
49,5064,Google Maps,قصبة اسطنبول,"Magnifique , on se lasse jamais de cet endroit avec ma maman",2025-10-03T21:06:52.223Z,0,place,,,"Magnifique , on se lasse jamais de cet endroit avec ma maman"
50,6301,Google Maps,Casbah Istanbul,"Une super soirée gâché par le comportement de la"" chef de caisse"" du mercredi soir , elle à demandé de plus servir de desserts, car madame voulait rentré, elle fait stoper la musique,  alors qu'il est à peine 22h30, une honte par une note de 18000da, je déconseille, dommage un endroit sympathique, les serveurs agréable, mais la note final de cette caissière est loin d'être à la hauteur, plus jamais.",2021-11-03T22:42:01.053Z,3,"treatment,place",,,"Une super soirée gâché par le comportement de la"" chef de caisse"" du mercredi soir , elle à demandé de plus servir de desserts, car madame voulait rentré, elle fait stoper la musique,  alors qu'il est à peine 22h30, une honte par une note de 18000da, je déconseille, dommage un endroit sympathique, les serveurs agréable, mais la note final de cette caissière est loin d'être à la hauteur, plus jamais."
51,40406,tiktok,@woodchickendz,كيفاش نقدر ندير لاكوموند,2026-01-02T19:45:49.945490,0,,,,كيفاش نقدر ندير لاكوموند
52,61786,tiktok,@maestro_dz13,"J’ai mangé partout à annaba et meilleur restaurant, c’est el walima restaurant gastronomique, trois étoiles",2026-01-02T21:26:52.422238,0,,,,"J’ai mangé partout à annaba et meilleur restaurant, c’est el walima restaurant gastronomique, trois étoiles💪"
53,18156,tiktok,@casabelladraria,إفري فوق طابلة,2026-01-02T18:14:54.619338,0,,,,إفري فوق طابلة 😂😂😂
54,268,instagram,bonsairestaurant_dz,your next birthday cake for SURE,2023-09-04T11:21:56.000Z,1,unknown,,,@badisnouar your next birthday cake for SURE 🤣🤣
55,4855,Google Maps,Hicham cook pizza pasta,"Très bonne pizza, surtout la pizza cannibale, décoration originale et service impeccable, on c'était plein d'une Pizza qui avait un problème, le serveur nous a offert une deuxième.",2022-01-21T19:39:16.517Z,0,"food,service,treatment",,,"Très bonne pizza, surtout la pizza cannibale, décoration originale et service impeccable, on c'était plein d'une Pizza qui avait un problème, le serveur nous a offert une deuxième."
56,11629,Facebook,Restaurant San Benito,هاد الشيباني سبحان الله ما عندو ش ذرة تاع قبول يبانو  محتالين والله اعلم,2025-07-28T18:09:20.000Z,0,unknown,,,هاد الشيباني سبحان الله ما عندو ش ذرة تاع قبول يبانو  محتالين والله اعلم
57,58734,tiktok,@maestro_dz13,البستان ٫ الوليمة,2026-01-02T21:21:18.001983,21,,,,البستان ٫ الوليمة
58,55898,tiktok,@mfood.annaba,Très bon prix. Qu’Allah fructifie ton commerce. Amin,2026-01-02T21:14:13.045530,8,,,,Très bon prix. Qu’Allah fructifie ton commerce. Amin
59,21802,tiktok,@maison_sardoudi,je confirme 1000,2026-01-02T18:22:32.454517,1,,,,je confirme 1000
60,45136,tiktok,@budz,"cvau akid lotfi ou fi yesmin 2,boulevar des lion y'en a 2",2026-01-02T20:15:51.006843,1,,,,"cvau akid lotfi ou fi yesmin 2,boulevar des lion y'en a 2"
61,12402,Facebook,Restaurant Rais,مقردع باللحم و يقردعك فالخلاص,2025-10-12T21:23:08.000Z,85,unknown,,,مقردع باللحم و يقردعك فالخلاص😂😂
62,21932,tiktok,@maison_sardoudi,ayooo rebi catastrophe aucun goût les plat nssen semhiyi kan,2026-01-02T18:22:36.412446,0,,,,ayooo rebi catastrophe aucun goût les plat nssen semhiyi kan
63,9613,Facebook,"  Restaurant elassil








","Barkat Mohamed lazam tkoune toute options, toit ouvrant , o lazam ykoune fiha sticker ta3 mouloudia",2025-12-16T21:21:55.000Z,3,unknown,,,"Barkat Mohamed lazam tkoune toute options, toit ouvrant , o lazam ykoune fiha sticker ta3 mouloudia 🤣🤣"
64,9643,Facebook,"  Restaurant elassil








",يسلمك اخي ندعم جميع الي يسترزق بالحلال,2025-12-16T15:20:52.000Z,0,unknown,,,يسلمك اخي ندعم جميع الي يسترزق بالحلال
65,47302,tiktok,@street_food,ربي يوفقك خويا ما شاء الله,2026-01-02T20:31:26.732621,0,,,,ربي يوفقك خويا ما شاء الله 🥰🥰🥰🥰🥰🥰
66,2912,Google Maps,HichamCook Grill House,ياطحاحنا مطعم  يكون فيه ريزفاسيون كيقول لي فيه ديني دوسون ماشي مطعم اكل السريع، ماشي داخل يقول لك راك مريزرافي ولا لا ،اعلاه اللي يدخل ياكل يقعد ياكل مساعة18 الى 23  ياك كاين اللي يقعد ياكل ساعة ويخرج وياتي الحق الاخر والله الشي عجيب,2022-05-12T23:28:54.158Z,6,unknown,,,ياطحاحنا مطعم  يكون فيه ريزفاسيون كيقول لي فيه ديني دوسون ماشي مطعم اكل السريع، ماشي داخل يقول لك راك مريزرافي ولا لا ،اعلاه اللي يدخل ياكل يقعد ياكل مساعة18 الى 23  ياك كاين اللي يقعد ياكل ساعة ويخرج وياتي الحق الاخر والله الشي عجيب
67,8413,Google Maps,American Burger Factory,"Bonne nourriture, service très long",2024-02-01T13:01:58.048Z,0,"food,service",,,"Bonne nourriture, service très long"
68,9898,Facebook,Dz Forest Restaura,"Yacine Bouakaz باين ماتكونش  لي كيما في الصورة 
بويسك بروشات كي تحسبها ب50 (مالقري دير كثر) وزيدلها جاجة ب120الف وزيد كومومبار ب40 ميل تخرج 510 
سما حميس والقازوز والفريت باطل
بلا ماننساو ليبروشات ب50 رخيسة سورتو اذا معمرين كيما لي في الفيديو",2025-10-13T11:45:12.000Z,1,unknown,,,"Yacine Bouakaz باين ماتكونش  لي كيما في الصورة 
بويسك بروشات كي تحسبها ب50 (مالقري دير كثر) وزيدلها جاجة ب120الف وزيد كومومبار ب40 ميل تخرج 510 
سما حميس والقازوز والفريت باطل
بلا ماننساو ليبروشات ب50 رخيسة سورتو اذا معمرين كيما لي في الفيديو"
69,12706,Facebook,Restaurant Rais,دراهم الدواء كولهم شواء,2025-10-13T21:41:46.000Z,0,unknown,,,دراهم الدواء كولهم شواء
70,63092,tiktok,@allechante,مزيا نصحتي ناس خارج الوطن لخطر بالاورو,2026-01-02T21:31:04.202475,0,,,,مزيا نصحتي ناس خارج الوطن لخطر بالاورو
71,48696,tiktok,@cassecroute_dz,مزالو ديسبونيبل؟,2026-01-02T20:37:01.369314,1,,,,مزالو ديسبونيبل؟
72,4610,Google Maps,Hicham cook pizza pasta,"Pizza bnina, fromage de qualité (mozza et cheddar), fekerna fel pizza ta3 bekri avant l’apparition du fromage savon, les jeunes au service au top, endroit propre, bon courage !",2025-10-28T17:27:33.086Z,0,"food,service,place",,,"Pizza bnina, fromage de qualité (mozza et cheddar), fekerna fel pizza ta3 bekri avant l’apparition du fromage savon, les jeunes au service au top, endroit propre, bon courage !"
73,48896,tiktok,@le77tizi,la belle vie,2026-01-02T20:38:59.838003,0,,,,la belle vie 😂😂😂
74,58752,tiktok,@maestro_dz13,البستان الوليمة طبرقة هما احين المطاعم بالنيبة لي,2026-01-02T21:21:18.793004,10,,,,البستان الوليمة طبرقة هما احين المطاعم بالنيبة لي
75,50984,tiktok,@broaster_chiken,تقول سمعوني كل منعدي نقول وشبيه محلوش لدرك حتى لقيت الفيديو,2026-01-02T20:59:48.842364,0,,,,تقول سمعوني كل منعدي نقول وشبيه محلوش لدرك حتى لقيت الفيديو 😂😂😂
76,13075,Facebook,Restaurant San Benito,الأغراء العمدي في التجارة,2025-10-12T19:54:26.000Z,0,unknown,,,الأغراء العمدي في التجارة
77,3507,Google Maps,Caracoya,حسن,2020-08-03T19:25:35.099Z,0,unknown,,,حسن
78,5408,Google Maps,Casbah Istanbul القصبة اسطنبول,J’y ai été plusieurs fois la bouffe est excellente mais les serveurs sont tellement froids et peu accueillants avec les gens ça impacte la réputation du resto en mal,2023-08-10T19:02:51.103Z,0,"service,treatment",,,J’y ai été plusieurs fois la bouffe est excellente mais les serveurs sont tellement froids et peu accueillants avec les gens ça impacte la réputation du resto en mal
79,71004,tiktok,@paradou_restaurant,ما عنديش 200 الف خو,2026-01-02T22:04:53.993378,0,,,,ما عنديش 200 الف خو 😁🖤
80,2670,Google Maps,HichamCook Grill House,"Hier soir moi et ma petite famille nous avons eu le plaisir de dinner dans ce restaurant ou la nourriture etait tres bonne rapport qualifié quantité et prix été logique le personnel au petit soin service a la hauteur du lieu [INTENSE] néanmoins il serait plus préférable d'ajouter le "" paiement  par carte bancaire"". Merci  [INTENSE] c une tres bonne expérience [INTENSE] je reviendrais des que possible",2023-08-14T15:38:26.728Z,1,"price,food,service",,,"Hier soir moi et ma petite famille nous avons eu le plaisir de dinner dans ce restaurant ou la nourriture etait tres bonne rapport qualifié quantité et prix été logique le personnel au petit soin service a la hauteur du lieu....néanmoins il serait plus préférable d'ajouter le "" paiement  par carte bancaire"". Merci ...c une tres bonne expérience....je reviendrais des que possible"
81,9910,Facebook,,La livraison n’est pas gratuite,2025-12-12T09:04:18.000Z,0,delivery,,,La livraison n’est pas gratuite 🙂
82,65752,tiktok,@vibe.bistrot,تسما نجيب فرشيطا ونجي راني جايا  [SERVICE],2026-01-02T21:45:41.564387,2,,,,تسما نجيب فرشيطا🍴 ونجي راني جايا 🏃🏃🏃🤗
83,13050,Facebook,Restaurant San Benito,و فالسعر انا ثاني نقلشك بصح نتغاشى هخهه,2025-10-13T00:00:26.000Z,2,unknown,,,و فالسعر انا ثاني نقلشك بصح نتغاشى هخهه
84,10036,Facebook,Restaurant Tabarka Annaba,الاغلبية عندها ملاحظات على الكمية,2025-12-30T19:46:16.000Z,0,unknown,,,الاغلبية عندها ملاحظات على الكمية
85,25328,tiktok,@lovers_grill,"j ai un ami qui connait il m à dit que c est fermer,je comprends pas",2026-01-02T18:33:43.549962,0,,,,"j ai un ami qui connait il m à dit que c est fermer,je comprends pas"
86,9696,Facebook,Dz Forest Restaura,معقول اخي وربي يباركلك  ويوفقك اما الناس لي مهيش قادرة مكان لاه التعليقات السلبية شوف لمطارق تع الشوا ماشاء الله ومخلطين لحم ومرقاز وجاج دير غير الواحد ب60 دج وجاجة ب 150 الف واحسب اللي تعرف تشرك فمك بلا الكومومبار ولفريت ولحميص راه تقريب  كادو من عندو . بزايد اخاوتي ناس مرضت بالتعليقات السلبية والله عيب.,2025-10-12T21:27:36.000Z,67,unknown,,,معقول اخي وربي يباركلك  ويوفقك اما الناس لي مهيش قادرة مكان لاه التعليقات السلبية شوف لمطارق تع الشوا ماشاء الله ومخلطين لحم ومرقاز وجاج دير غير الواحد ب60 دج وجاجة ب 150 الف واحسب اللي تعرف تشرك فمك بلا الكومومبار ولفريت ولحميص راه تقريب  كادو من عندو . بزايد اخاوتي ناس مرضت بالتعليقات السلبية والله عيب.
87,9724,Facebook,Dz Forest Restaura,Mohamed Solo مرڨاز 80 ألف هادا تاع مصران دجاجة خو,2025-10-13T13:16:52.000Z,1,unknown,,,Mohamed Solo مرڨاز 80 ألف هادا تاع مصران دجاجة خو 😊
88,31820,tiktok,@entracte,وين يضبط,2026-01-02T19:14:24.034740,1,,,,وين يضبط
89,19844,tiktok,@sultan,اقسم بالله العظيم والله والله والله غير ماكلته رهج روحنا ليه كما حطتها سارفوز كيما خليناها ونضنا,2026-01-02T18:17:24.231508,0,,,,اقسم بالله العظيم والله والله والله غير ماكلته رهج روحنا ليه كما حطتها سارفوز كيما خليناها ونضنا
90,26742,tiktok,@seven.times,M3ndich shabat nrouh m3houm,2026-01-02T18:39:08.809939,2,,,,M3ndich shabat nrouh m3houm 😂
91,73528,tiktok,@pont_hydra,ahya mohend okassi hooow amek thetilid ared aka thegheten ni,2026-01-02T22:13:57.016236,0,,,,ahya mohend okassi hooow amek thetilid ared aka thegheten ni
92,35974,tiktok,@sinai,Ça me fait rêver !,2026-01-02T19:28:30.939374,0,,,,Ça me fait rêver !
93,24480,tiktok,@opium,Leur pizza à la burrata/pesto est exquis  [BOUFFE],2026-01-02T18:29:38.994567,0,,,,Leur pizza à la burrata/pesto est exquis 🤤
94,6066,Google Maps,Casbah Istanbul,"Restaurant qui prépare de la bonne nourriture turque et surtout la konafa et le Katmer c'est un delice.
C'est un peu petit mais le service et le personnel sont agréables
Je vous le recommande surtout pour les amateurs du Konafa",2023-09-09T18:25:57.731Z,0,"food,service,treatment",,,"Restaurant qui prépare de la bonne nourriture turque et surtout la konafa et le Katmer c'est un delice.
C'est un peu petit mais le service et le personnel sont agréables
Je vous le recommande surtout pour les amateurs du Konafa"
95,72302,tiktok,@pont_hydra,"oui moi je le mange pas mais je l'ai vuau Maroc, ça se vend dans la rue , cuisiné avec des herbes .il paraît que c'est bon pour la santé.",2026-01-02T22:13:20.298209,1,,,,"oui moi je le mange pas mais je l'ai vuau Maroc, ça se vend dans la rue , cuisiné avec des herbes .il paraît que c'est bon pour la santé."
96,6938,Google Maps,American Burger said hamdine,"Bon accueil, bonne cuisine",2025-07-06T11:42:12.038Z,0,"food,treatment",,,"Bon accueil, bonne cuisine"
97,40270,tiktok,@streetburger02,صوص بربكيو متجيش مع الروز ديرها مقرونة تجي بنينة,2026-01-02T19:44:12.037257,0,,,,صوص بربكيو متجيش مع الروز ديرها مقرونة تجي بنينة
98,40372,tiktok,@woodchickendz,لوكان نحيتو برغر ودرتو في بلاصتو قرعة فأزود,2026-01-02T19:45:49.110924,1,,,,لوكان نحيتو برغر ودرتو في بلاصتو قرعة فأزود
99,1442,instagram,mimas_donuts,Toujours la meilleure,2025-06-19T22:13:32.000Z,7,unknown,,,🔥🔥❤️❤️ Toujours la meilleure❤️
100,17524,tiktok,@seven.times.luxury,لا أحد يطبخ مثلي,2026-01-02T18:13:14.463674,0,,,,لا أحد يطبخ مثلي💯
101,50860,tiktok,@broaster_chiken,وين راه المطبخ الجزائري رد علينا,2026-01-02T20:59:46.444066,1,,,,وين راه المطبخ الجزائري رد علينا
102,55692,tiktok,@mfood.annaba,غدوا نكون عندك بصح وين وين مسجد الرحمان كاين حوانت ياسر لتما تع ليبوكس,2026-01-02T21:14:06.968823,1,,,,غدوا نكون عندك بصح وين وين مسجد الرحمان كاين حوانت ياسر لتما تع ليبوكس
103,61670,tiktok,@guellil._.tasnim,Dinos و الله شهادة حق أحسن شواء لحوم طازجة و أجود أنواع الجبن  كمية و نوعية  [BOUFFE],2026-01-02T21:25:45.400220,3,,,,@Barbecue Dinos و الله شهادة حق أحسن شواء لحوم طازجة و أجود أنواع الجبن 🧀 كمية و نوعية 👌❤💯🤗😋
104,59794,tiktok,@maestro_dz13,الحاجة في سرايدي ومنار الشام خيمة ناقة,2026-01-02T21:21:47.364454,0,,,,الحاجة في سرايدي ومنار الشام خيمة ناقة
105,33042,tiktok,@sinai,Trop cher et en très petite quantité,2026-01-02T19:18:32.721307,0,,,,Trop cher et en très petite quantité
106,3347,Google Maps,تاج محل بن عكنون,جميل وممتع تجربة شيى جديد,2017-01-09T16:03:49.549Z,2,unknown,,,جميل وممتع تجربة شيى جديد
107,69748,tiktok,@chtibo_oran,J’habite mobillart mais jais pas vu je connaissais pas,2026-01-02T21:58:29.220361,0,,,,J’habite mobillart mais jais pas vu je connaissais pas
108,48282,tiktok,@rahmani_food,ههههه هادو كامل مضرين بلجيب والصحة,2026-01-02T20:34:28.248857,0,,,,ههههه هادو كامل مضرين بلجيب والصحة
109,11043,Facebook,Restaurant Casa Bella - Draria,"ربي يبارك لك 
لكن صراحة نخاف في كهف مطعم مستحيل",2025-09-02T09:39:27.000Z,0,unknown,,,"ربي يبارك لك 
لكن صراحة نخاف في كهف مطعم مستحيل"
110,4261,Google Maps,هشام كوك بيتزا,Bad food + Expensive : Go away,2024-08-05T09:24:52.739Z,0,food,,,Bad food + Expensive : Go away
111,1727,instagram,"resturant.arabesque
",من نهار لقيت قرلو في الطبسي و زيد كي قتلو جاتو نورمال منزيدش نروح ليه ابدا ( ماشي هذا الجديد الأول تاع شاورما ) و زيد غالي و كمية صغيرة,2025-07-24T14:10:03.000Z,73,unknown,,,من نهار لقيت قرلو في الطبسي و زيد كي قتلو جاتو نورمال منزيدش نروح ليه ابدا ( ماشي هذا الجديد الأول تاع شاورما ) و زيد غالي و كمية صغيرة
112,42210,tiktok,@street_food,تاع برا خامج وبنين,2026-01-02T19:58:02.743683,0,,,,تاع برا خامج وبنين 😂
113,4113,Google Maps,هشام كوك بيتزا,Overrated,2025-02-12T19:53:27.028Z,0,unknown,,,Overrated
114,36060,tiktok,@sinai,ماشاء الله وفقكم الله,2026-01-02T19:28:33.477109,0,,,,ماشاء الله وفقكم الله
